Rank,Player,Team,Pos,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Drafted
1,Todd Gurley,LAR,RB1,1,5,1.7,1,1,0,
2,Le'Veon Bell,PIT,RB2,1,7,2.2,1.2,2,0,
3,David Johnson,ARI,RB3,1,8,3.8,1.5,4,1,
4,Ezekiel Elliott,DAL,RB4,1,11,4.2,1.8,3,-1,
5,Antonio Brown,PIT,WR1,1,9,4.3,1.4,5,0,
6,DeAndre Hopkins,HOU,WR2,3,16,7.5,2.3,8,2,X
7,Alvin Kamara,NO,RB5,2,19,7.7,3.2,6,-1,X
8,Odell Beckham Jr.,NYG,WR3,4,16,8.9,2.3,10,2,
9,Saquon Barkley,NYG,RB6,3,25,9.2,3.8,7,-2,
10,Julio Jones,ATL,WR4,4,19,10.6,2.4,13,3,
11,Michael Thomas,NO,WR5,6,23,12.7,3.1,15,4,
12,Kareem Hunt,KC,RB7,5,26,12.9,4.2,9,-3,
13,Melvin Gordon,LAC,RB8,7,22,13,3.8,11,-2,
14,Keenan Allen,LAC,WR6,9,25,14.4,3,16,2,
15,Leonard Fournette,JAC,RB9,6,42,15.5,6.5,12,-3,
16,Dalvin Cook,MIN,RB10,7,38,16.2,4.9,14,-2,
17,A.J. Green,CIN,WR7,11,22,16.2,2.3,19,2,
18,Davante Adams,GB,WR8,10,23,16.6,3,18,0,
19,Devonta Freeman,ATL,RB11,14,43,21.4,4.8,20,1,
20,Mike Evans,TB,WR9,13,38,22.3,4.9,22,2,
21,Christian McCaffrey,CAR,RB12,12,49,24,6.9,17,-4,
22,Rob Gronkowski,NE,TE1,15,59,24.5,7.3,21,-1,
23,Jerick McKinnon,SF,RB13,14,57,24.6,7.5,23,0,
24,Jordan Howard,CHI,RB14,17,46,26.9,5.2,24,0,
25,T.Y. Hilton,IND,WR10,14,64,27,7.4,28,3,
26,Adam Thielen,MIN,WR11,16,43,27.6,5.9,29,3,
27,Doug Baldwin,SEA,WR12,18,52,28.9,8.5,33,6,
28,Travis Kelce,KC,TE2,20,54,29.5,6.8,26,-2,
29,Joe Mixon,CIN,RB15,14,58,30.6,8,25,-4,
30,Stefon Diggs,MIN,WR13,17,57,31.2,7.1,32,2,
31,Larry Fitzgerald,ARI,WR14,17,53,31.8,7.3,35,4,
32,Tyreek Hill,KC,WR15,19,60,33.4,7.8,31,-1,
33,Amari Cooper,OAK,WR16,21,62,36.6,8.5,37,4,
34,Demaryius Thomas,DEN,WR17,20,65,37.9,7.9,41,7,
35,LeSean McCoy,BUF,RB16,15,102,39.2,18.7,27,-8,
36,Zach Ertz,PHI,TE3,16,63,39.2,10.1,34,-2,
37,Allen Robinson,CHI,WR18,23,79,40.5,10.5,40,3,
38,Alex Collins,BAL,RB17,24,74,40.7,9.4,45,7,
39,Aaron Rodgers,GB,QB1,26,209,42.4,31.8,30,-9,
40,Golden Tate,DET,WR19,26,61,42.3,6.4,44,4,
41,Alshon Jeffery,PHI,WR20,24,70,43,9.3,52,11,
42,Kenyan Drake,MIA,RB18,23,92,43.2,12.4,38,-4,
43,Derrius Guice,WAS,RB19,24,69,43.5,11,36,-7,
44,JuJu Smith-Schuster,PIT,WR21,32,77,47.8,9.4,47,3,
45,Jay Ajayi,PHI,RB20,17,82,48.3,11.9,48,3,
46,Marvin Jones,DET,WR22,25,77,51.4,10.5,58,12,
47,Jarvis Landry,CLE,WR23,31,90,52,12.7,43,-4,
48,Brandin Cooks,LAR,WR24,21,95,52.1,14.1,42,-6,
49,Josh Gordon,CLE,WR25,19,115,52.4,18.8,50,1,
50,Derrick Henry,TEN,RB21,27,97,54.1,15.6,39,-11,
51,Lamar Miller,HOU,RB22,29,103,54.9,13.9,57,6,
52,Russell Wilson,SEA,QB2,29,81,48.8,9.7,53,1,
53,Dion Lewis,TEN,RB23,37,89,57.3,10.8,61,8,
54,Mark Ingram,NO,RB24,25,96,58.6,15.7,55,1,
55,Tom Brady,NE,QB3,35,78,53,9.2,54,-1,
56,Rashaad Penny,SEA,RB25,24,127,60.6,19.1,49,-7,
57,Michael Crabtree,BAL,WR26,38,113,63,13.7,67,10,
58,Royce Freeman,DEN,RB26,33,107,63.4,17.7,56,-2,
59,Greg Olsen,CAR,TE4,43,109,63.6,11.4,62,3,
60,Cam Newton,CAR,QB4,36,82,57.7,11,66,6,
61,Corey Davis,TEN,WR27,39,126,65,15.7,64,3,
62,Deshaun Watson,HOU,QB5,31,87,59.8,12.2,46,-16,
63,Sammy Watkins,KC,WR28,37,118,67.3,16.1,69,6,
64,Chris Hogan,NE,WR29,40,103,67.4,16.6,68,4,
65,Evan Engram,NYG,TE5,22,102,69.3,14.4,63,-2,
66,Ronald Jones II,TB,RB27,34,185,69.9,23.3,51,-15,
67,Pierre Garcon,SF,WR30,41,102,71.3,12.7,83,16,
68,Emmanuel Sanders,DEN,WR31,46,129,72.1,17.7,77,9,
69,Jimmy Graham,GB,TE6,39,126,73.6,16.8,59,-10,
70,Sony Michel,NE,RB28,32,161,74.3,24,60,-10,
71,Drew Brees,NO,QB6,37,108,68.8,14.1,75,4,
72,Robert Woods,LAR,WR32,51,138,75.8,15,82,10,
73,Rex Burkhead,NE,RB29,36,136,75.9,22.2,80,7,
74,Delanie Walker,TEN,TE7,37,127,76.2,14.5,72,-2,
75,Tevin Coleman,ATL,RB30,33,123,77.5,16.7,70,-5,
76,Carson Wentz,PHI,QB7,43,151,71.1,16,65,-11,
77,Devin Funchess,CAR,WR33,47,131,78,14.1,78,1,
78,Robby Anderson,NYJ,WR34,40,130,79.8,17.6,96,18,
79,Marshawn Lynch,OAK,RB31,51,160,80.5,19.9,79,0,
80,Jamison Crowder,WAS,WR35,44,145,81.1,18,85,5,
81,Kyle Rudolph,MIN,TE8,45,123,81.3,13.8,73,-8,
82,Kirk Cousins,MIN,QB8,44,116,76.4,15.5,89,7,
83,Cooper Kupp,LAR,WR36,59,109,83.4,9.7,95,12,
84,Randall Cobb,GB,WR37,43,194,84.8,24.4,92,8,
85,Marlon Mack,IND,RB32,41,147,90.6,20,84,-1,
86,Devante Parker,MIA,WR38,52,175,91.2,21.2,93,7,
87,Matthew Stafford,DET,QB9,58,140,86.1,15.3,101,14,
88,Marquise Goodwin,SF,WR39,48,135,92.8,18.4,94,6,
89,Duke Johnson,CLE,RB33,45,143,93.8,22,88,-1,
90,Will Fuller,HOU,WR40,63,140,94.7,16.9,71,-19,
91,Kerryon Johnson,DET,RB34,28,143,94.1,24,81,-10,
92,Isaiah Crowell,NYJ,RB35,53,139,96.5,19,87,-5,
93,Trey Burton,CHI,TE9,61,145,97.1,16.9,99,6,
94,Julian Edelman,NE,WR41,48,185,97.5,25.3,74,-20,
95,Tarik Cohen,CHI,RB36,53,180,98.9,20.7,76,-19,
96,Andrew Luck,IND,QB10,48,173,94.1,25.1,90,-6,
97,Chris Thompson,WAS,RB37,47,237,98.6,28.2,117,20,
98,Sterling Shepard,NYG,WR42,70,164,99.9,15.4,104,6,
99,Jordy Nelson,OAK,WR43,53,156,101.1,18.8,98,-1,
100,Jordan Reed,WAS,TE10,69,186,101.2,17.8,86,-14,
101,Ben Roethlisberger,PIT,QB11,63,126,96.1,15.6,103,2,
102,C.J. Anderson,CAR,RB38,47,175,102.8,23.7,109,7,
103,Jamaal Williams,GB,RB39,67,151,99.9,19.6,97,-6,
104,Carlos Hyde,CLE,RB40,58,186,104.7,23.2,91,-13,
105,Nelson Agholor,PHI,WR44,57,156,104.8,16.6,105,0,
106,Philip Rivers,LAC,QB12,61,144,101.1,16.7,111,5,
