Rank,Player,Drafted,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP
1,Todd Gurley,X,LAR,RB1,12,1,5,1.7,0.9,1,0
2,Le'Veon Bell,,PIT,RB2,7,1,6,2.4,1.2,2,0
3,Ezekiel Elliott,,DAL,RB3,8,1,8,3.2,1.4,3,0
4,David Johnson,,ARI,RB4,9,1,18,3.8,2.2,4,0
5,Antonio Brown,,PIT,WR1,7,2,8,4.9,1.3,5,0
6,Alvin Kamara,,NO,RB5,6,3,18,8.1,3,6,0
7,DeAndre Hopkins,,HOU,WR2,10,3,18,8.2,2.7,9,2
8,Saquon Barkley,,NYG,RB6,9,2,17,8.5,3.3,7,-1
9,Odell Beckham Jr.,,NYG,WR3,9,4,21,9.9,2.7,12,3
10,Melvin Gordon,,LAC,RB7,8,6,23,10.8,3.2,11,1
11,Leonard Fournette,,JAC,RB8,9,5,22,11.3,3.4,8,-3
12,Kareem Hunt,,KC,RB9,12,5,24,11.4,3.1,10,-2
13,Julio Jones,,ATL,WR4,8,5,19,11.6,2.7,14,1
14,Michael Thomas,,NO,WR5,6,7,22,14.3,2.9,16,2
15,Dalvin Cook,,MIN,RB10,10,6,30,15.2,4.3,13,-2
16,Keenan Allen,,LAC,WR6,8,9,25,16.4,3.2,18,2
17,A.J. Green,,CIN,WR7,9,9,24,17.4,2.7,20,3
18,Davante Adams,,GB,WR8,7,10,37,18.1,3.8,19,1
19,Devonta Freeman,,ATL,RB11,8,12,33,19.4,4,17,-2
20,Jordan Howard,,CHI,RB12,5,12,33,22.3,4.3,22,2
21,Rob Gronkowski,,NE,TE1,11,11,34,23.3,3.9,21,0
22,Christian McCaffrey,,CAR,RB13,4,10,46,23.4,6.3,15,-7
23,Mike Evans,,TB,WR9,5,15,53,24.3,6.2,24,1
24,Joe Mixon,,CIN,RB14,9,11,50,25.4,6.6,23,-1
25,T.Y. Hilton,,IND,WR10,9,15,52,25.7,6.3,30,5
26,Jerick McKinnon,,SF,RB15,11,12,74,29.3,9.1,27,1
27,Doug Baldwin,,SEA,WR11,7,20,57,30.8,7.2,35,8
28,Stefon Diggs,,MIN,WR12,10,19,54,31.3,7.7,31,3
29,Travis Kelce,,KC,TE2,12,19,57,31.4,8.2,29,0
30,Adam Thielen,,MIN,WR13,10,15,62,32,8.2,32,2
31,Tyreek Hill,,KC,WR14,12,13,72,33,8.4,28,-3
32,LeSean McCoy,,BUF,RB16,11,9,89,33.8,13,26,-6
33,Alex Collins,,BAL,RB17,10,18,87,33.9,10.2,34,1
34,Amari Cooper,,OAK,WR15,7,19,96,37.4,10.2,33,-1
35,Larry Fitzgerald,,ARI,WR16,9,25,71,39,7.3,44,9
36,Jay Ajayi,,PHI,RB18,9,17,81,40.6,11.3,37,1
37,Derrick Henry,,TEN,RB19,8,21,87,41.4,12.2,36,-1
38,Kenyan Drake,,MIA,RB20,11,23,98,41.7,13.1,39,1
