Rank,Tier,WSID,Player,Team,Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Drafted
1,1,,Saquon Barkley,NYG,RB1,11,1,5,1.5,0.8,1,0,
2,1,,Christian McCaffrey,CAR,RB2,7,1,10,2.4,0.9,2,0,
3,1,,Alvin Kamara,NO,RB3,9,1,5,2.9,1.1,3,0,
4,1,,Ezekiel Elliott,DAL,RB4,8,1,52,5.4,4.9,4,0,
5,1,,David Johnson,ARI,RB5,12,1,23,5.9,3.1,5,0,
6,1,,DeAndre Hopkins,HOU,WR1,10,4,17,7.4,2.1,6,0,
7,1,,Davante Adams,GB,WR2,11,5,20,8.2,2.9,8,1,
8,2,,Julio Jones,ATL,WR3,9,5,16,10.2,2.5,10,2,
9,2,,James Conner,PIT,RB6,7,3,53,11.7,5.2,11,2,
10,2,,Michael Thomas,NO,WR4,9,5,25,12.9,3.6,9,-1,
11,2,,Le'Veon Bell,NYJ,RB7,4,2,52,12.9,6.8,7,-4,
12,2,,Odell Beckham Jr.,CLE,WR5,7,4,25,12.9,4,12,0,
13,2,,Travis Kelce,KC,TE1,12,6,22,14,2.3,14,1,
14,2,,Nick Chubb,CLE,RB8,7,1,28,14.3,5.8,18,4,
15,2,,JuJu Smith-Schuster,PIT,WR6,7,6,28,15,4.2,16,1,X
16,2,,Joe Mixon,CIN,RB9,9,6,31,15,4.8,17,1,
17,2,,Tyreek Hill,KC,WR7,12,6,30,16.7,5.2,15,-2,
18,2,,Dalvin Cook,MIN,RB10,12,5,46,17.4,5.7,20,2,
19,3,,Todd Gurley,LAR,RB11,9,3,60,19.7,10.5,13,-6,
20,3,,Mike Evans,TB,WR8,7,12,34,21.3,4.1,21,1,
21,3,,George Kittle,SF,TE2,4,13,69,24.2,7.5,29,8,
22,3,,Keenan Allen,LAC,WR9,12,16,42,26.1,4.2,24,2,
23,3,,T.Y. Hilton,IND,WR10,6,18,46,26.8,3.8,27,4,
24,3,,Antonio Brown,OAK,WR11,6,13,81,26.9,6.4,22,-2,
25,3,,Zach Ertz,PHI,TE3,10,18,63,28,9.5,25,0,
26,3,,Melvin Gordon,LAC,RB12,12,4,142,29.4,14.8,23,-3,
27,3,,Amari Cooper,DAL,WR12,8,12,55,30.4,5.6,32,5,
28,3,,Adam Thielen,MIN,WR13,12,12,54,30.7,4.9,26,-2,
29,3,,Kerryon Johnson,DET,RB13,5,14,66,31.2,10,30,1,
30,3,,Stefon Diggs,MIN,WR14,12,22,51,31.3,4.2,35,5,
31,3,,Damien Williams,KC,RB14,12,6,101,31.6,14.1,28,-3,
32,4,,Marlon Mack,IND,RB15,6,14,74,34,9.9,36,4,
33,4,,Leonard Fournette,JAC,RB16,10,10,76,34.3,9.3,31,-2,
34,4,,Devonta Freeman,ATL,RB17,9,14,59,34.6,9.6,34,0,
35,4,,Patrick Mahomes,KC,QB1,12,10,73,34.8,13.2,19,-16,
36,4,,Aaron Jones,GB,RB18,11,9,80,35.3,10.1,33,-3,
37,4,,Brandin Cooks,LAR,WR15,9,20,55,35.7,4.8,40,3,
38,4,,Julian Edelman,NE,WR16,10,22,68,35.7,6.8,39,1,
39,4,,Robert Woods,LAR,WR17,9,23,59,37.4,5.8,41,2,
40,4,,Kenny Golladay,DET,WR18,5,31,95,41.7,6.8,42,2,
41,4,,Chris Godwin,TB,WR19,7,25,86,42.3,8.4,46,5,
42,4,,Derrick Henry,TEN,RB19,11,12,93,43.6,9.4,38,-4,
43,4,,Josh Jacobs,OAK,RB20,6,22,187,46.4,13.5,37,-6,
44,4,,Tyler Lockett,SEA,WR20,11,29,109,47,12.3,50,6,
45,4,,Cooper Kupp,LAR,WR21,9,30,83,47.7,9.6,48,3,
46,4,,Chris Carson,SEA,RB21,11,24,93,48.5,13.3,51,5,
47,4,,Tyler Boyd,CIN,WR22,9,32,88,52.6,10.5,59,12,
48,5,,Alshon Jeffery,PHI,WR23,10,34,81,54,10.2,70,22,
49,5,,Calvin Ridley,ATL,WR24,9,34,87,54.4,8.9,55,6,
50,5,,Mark Ingram,BAL,RB22,8,19,99,54.6,14,49,-1,
51,5,,Sony Michel,NE,RB23,10,29,89,55.4,11.4,47,-4,
52,5,,D.J. Moore,CAR,WR25,7,34,113,55.6,12.7,61,9,
53,5,,David Montgomery,CHI,RB24,6,11,257,56.3,19,57,4,
54,5,,Deshaun Watson,HOU,QB2,10,21,80,52.2,11.5,43,-11,
55,5,,Allen Robinson,CHI,WR26,6,37,110,57.7,13.8,69,14,
56,5,,O.J. Howard,TB,TE4,7,22,95,58.3,11.5,60,4,
57,5,,Mike Williams,LAC,WR27,12,34,96,59.5,12.6,62,5,
58,5,,Aaron Rodgers,GB,QB3,11,29,87,56,9.8,53,-5,
59,5,,Phillip Lindsay,DEN,RB25,10,33,103,62,15.3,44,-15,
60,5,,Evan Engram,NYG,TE5,11,18,119,63.3,14.2,56,-4,
61,5,,Hunter Henry,LAC,TE6,12,22,94,65,8.8,65,4,
62,5,,Robby Anderson,NYJ,WR28,4,35,100,65.1,13.5,74,12,
63,5,,A.J. Green,CIN,WR29,9,42,112,65.2,16.7,45,-18,
64,5,,Jarvis Landry,CLE,WR30,7,30,127,65.7,15.5,63,-1,
65,5,,James White,NE,RB26,10,27,115,66.5,14.6,52,-13,
66,5,,Andrew Luck,IND,QB4,6,21,154,64.9,21.4,54,-12,
67,5,,Tevin Coleman,SF,RB27,4,35,136,73.4,18.3,67,0,
68,5,,Baker Mayfield,CLE,QB5,7,30,119,69.3,13.9,58,-10,
69,5,,Kenyan Drake,MIA,RB28,5,19,134,74.4,21.8,66,-3,
70,5,,Sammy Watkins,KC,WR31,12,40,148,74.4,16.4,76,6,
