"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes","KC","581.0","379.4","4,774.8","36.0","13.3","52.5","219.7","1.9","2.0","337.9"
"Deshaun Watson","HOU","509.7","336.8","4,062.1","26.4","12.0","95.3","552.5","4.4","2.7","320.1"
"Aaron Rodgers","GB","596.2","378.4","4,319.2","29.8","7.6","46.3","260.7","2.1","2.1","310.9"
"Andrew Luck","IND","592.3","389.4","4,421.8","32.6","14.1","51.6","216.2","1.4","2.5","304.2"
"Matt Ryan","ATL","585.5","394.9","4,634.0","30.0","10.6","48.2","132.7","1.5","2.0","302.1"
"Cam Newton","CAR","514.8","336.2","3,777.4","24.4","13.8","113.2","546.3","4.4","1.7","299.0"
"Drew Brees","NO","538.3","386.9","4,336.4","30.4","8.8","24.8","40.2","1.9","1.6","289.9"
"Jameis Winston","TB","561.0","356.5","4,432.5","27.7","16.4","57.2","276.9","1.6","2.7","287.5"
"Jared Goff","LAR","551.0","352.2","4,377.9","30.5","11.8","31.1","102.9","1.2","2.2","286.7"
"Dak Prescott","DAL","522.1","344.3","3,858.0","23.7","10.8","68.0","311.4","5.3","2.3","285.7"
"Lamar Jackson","BAL","431.7","256.0","2,988.3","17.1","10.8","176.7","905.1","6.4","4.9","285.5"
"Carson Wentz","PHI","568.4","376.3","4,239.2","30.1","12.3","52.3","191.5","1.0","2.6","285.1"
"Baker Mayfield","CLE","564.7","362.9","4,326.8","30.6","14.6","47.0","181.2","0.9","2.4","285.0"
"Ben Roethlisberger","PIT","619.3","406.0","4,638.7","29.4","15.2","23.3","75.3","1.2","1.8","284.0"
"Russell Wilson","SEA","453.5","292.4","3,565.8","27.8","9.5","73.3","381.5","2.0","2.1","281.1"
"Tom Brady","NE","580.2","379.9","4,352.2","28.9","10.8","21.0","38.8","1.0","1.5","275.4"
"Kirk Cousins","MIN","578.4","397.8","4,179.9","27.4","12.2","38.5","134.1","1.9","2.4","272.2"
"Mitch Trubisky","CHI","511.5","332.8","3,762.9","25.1","13.2","65.7","377.6","2.4","2.5","271.7"
"Kyler Murray","ARI","541.1","335.0","3,718.2","21.8","14.3","107.0","506.7","3.1","3.2","270.4"
"Philip Rivers","LAC","546.0","359.9","4,364.9","29.7","12.3","13.5","25.2","0.2","1.4","269.7"
"Josh Allen","BUF","479.9","271.0","3,211.4","17.4","14.4","103.6","657.7","6.3","2.9","266.9"
"Jimmy Garoppolo","SF","519.3","334.1","4,072.6","25.2","14.1","37.7","122.5","1.3","2.1","250.9"
"Derek Carr","OAK","570.6","379.6","4,106.4","23.9","12.3","24.5","68.5","0.6","2.1","241.6"
"Matthew Stafford","DET","559.7","368.9","3,952.8","24.0","11.5","28.9","78.5","0.7","1.7","239.8"
"Andy Dalton","CIN","533.6","331.2","3,688.2","24.1","13.7","32.9","119.9","0.9","1.7","230.5"
"Sam Darnold","NYJ","530.5","320.2","3,653.1","22.5","15.8","48.0","188.0","1.6","2.3","228.1"
"Marcus Mariota","TEN","446.9","294.0","3,269.5","18.3","12.6","70.2","357.9","2.6","2.4","225.4"
"Nick Foles","JAC","532.1","338.8","3,783.6","21.6","13.4","33.1","76.5","0.9","2.0","220.2"
"Eli Manning","NYG","490.4","309.9","3,349.6","18.9","10.5","20.4","50.1","1.0","2.5","194.4"
"Joe Flacco","DEN","476.0","292.7","3,240.3","17.8","11.8","24.2","92.5","0.9","1.3","189.3"
"Ryan Fitzpatrick","MIA","307.4","192.4","2,572.6","15.6","11.3","30.3","188.5","1.6","1.0","168.7"
"Dwayne Haskins","WAS","340.0","208.6","2,334.3","12.2","10.0","14.8","52.6","0.5","1.3","127.4"
"Case Keenum","WAS","151.8","91.8","1,242.0","7.0","5.4","12.0","55.5","0.5","0.6","74.6"
"Josh Rosen","MIA","211.1","128.8","1,261.4","6.3","5.9","14.5","59.3","0.3","1.5","69.0"
"Daniel Jones","NYG","94.6","58.8","773.7","4.2","3.3","6.1","34.7","0.3","0.7","44.7"
"Drew Lock","DEN","104.5","64.6","731.9","3.9","3.0","8.8","37.4","0.3","0.4","43.3"
"Taysom Hill","NO","9.5","5.9","120.0","0.5","0.5","35.1","143.0","1.1","0.5","25.8"
"Colt McCoy","WAS","56.7","35.5","404.7","2.3","1.7","4.7","15.6","0.1","0.7","22.5"
"C.J. Beathard","SF","46.3","27.3","318.7","1.7","1.3","2.7","8.7","0.0","0.0","17.6"
"Ryan Tannehill","TEN","35.3","21.9","279.9","1.5","1.5","3.9","14.6","0.1","0.1","15.8"
