"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","NYG","270.7","1,263.7","9.5","86.7","693.4","3.4","1.6","269.8"
"Christian McCaffrey","CAR","213.9","1,045.8","6.7","95.0","805.2","5.0","1.8","252.0"
"Alvin Kamara","NO","195.1","897.0","9.5","86.1","753.4","4.6","1.4","246.6"
"Ezekiel Elliott","DAL","291.1","1,287.5","9.0","65.9","506.2","2.6","1.9","244.8"
"David Johnson","ARI","247.8","996.5","7.4","59.8","568.9","3.1","2.5","215.0"
"James Conner","PIT","232.0","1,049.3","9.6","54.2","439.7","1.6","1.9","212.3"
"Le'Veon Bell","NYJ","247.0","1,047.4","7.3","60.7","502.0","2.5","1.7","210.5"
"Todd Gurley","LAR","209.2","976.7","9.4","43.7","401.2","2.5","1.7","205.6"
"Joe Mixon","CIN","249.8","1,156.5","8.5","46.2","342.1","1.2","1.6","205.2"
"Nick Chubb","CLE","242.9","1,161.5","9.2","32.8","251.3","1.5","0.9","203.8"
"Dalvin Cook","MIN","237.2","1,091.1","6.4","58.7","449.5","2.2","2.7","199.9"
"Melvin Gordon","LAC","195.5","901.6","8.1","48.3","435.4","2.6","1.1","195.7"
"Derrick Henry","TEN","248.3","1,169.1","9.8","16.5","124.4","0.3","1.0","187.8"
"Kerryon Johnson","DET","216.6","1,024.5","6.4","52.4","374.3","1.8","1.9","185.7"
"Chris Carson","SEA","240.6","1,117.5","8.3","26.7","209.0","0.9","2.1","183.6"
"Damien Williams","KC","165.2","787.0","7.0","51.1","410.6","3.9","1.4","182.4"
"Leonard Fournette","JAC","249.2","949.2","7.6","40.3","336.3","1.5","1.3","180.5"
"Marlon Mack","IND","231.7","1,057.3","8.4","28.1","202.0","1.0","1.3","179.5"
"Aaron Jones","GB","184.2","937.6","8.1","37.9","291.7","1.4","1.3","177.2"
"Devonta Freeman","ATL","206.0","883.1","7.0","45.1","351.0","1.9","1.3","174.2"
