"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","98.7","1,251.5","9.4","0.6","180.4"
"George Kittle","SF","84.5","1,156.6","6.4","0.4","153.5"
"Zach Ertz","PHI","92.1","978.0","7.1","0.5","139.7"
"O.J. Howard","TB","56.7","812.8","6.4","0.5","118.7"
"Evan Engram","NYG","67.7","807.3","5.3","0.5","111.4"
"Jared Cook","NO","60.6","760.2","5.9","0.4","110.6"
"Hunter Henry","LAC","55.3","705.6","6.1","0.5","106.4"
"Vance McDonald","PIT","58.4","670.1","4.9","0.5","95.2"
"Eric Ebron","IND","51.5","582.5","6.1","0.4","94.0"
"David Njoku","CLE","54.1","638.3","4.9","0.4","92.2"
"Delanie Walker","TEN","56.1","620.2","4.1","0.5","85.5"
"Jordan Reed","WAS","62.8","636.3","3.8","0.5","85.5"
"Mark Andrews","BAL","46.0","606.1","4.1","0.1","85.0"
"Austin Hooper","ATL","61.4","597.8","4.3","0.4","84.7"
"Greg Olsen","CAR","46.7","543.9","4.4","0.1","80.6"
"Jimmy Graham","GB","51.7","556.9","4.1","0.4","79.5"
"Trey Burton","CHI","48.4","527.2","4.3","0.5","77.6"
"Kyle Rudolph","MIN","52.6","513.5","4.3","0.4","76.6"
"Jack Doyle","IND","54.0","506.4","4.1","0.8","73.6"
"Noah Fant","DEN","45.9","515.0","3.6","0.6","71.8"
"T.J. Hockenson","DET","48.2","506.7","3.7","1.1","70.4"
"Tyler Eifert","CIN","42.1","468.9","3.6","0.1","68.3"
"Jason Witten","DAL","45.6","446.7","3.4","0.4","64.2"
"Chris Herndon IV","NYJ","33.9","417.0","3.5","0.1","62.4"
"Dallas Goedert","PHI","34.4","357.2","4.0","0.1","59.5"
"Darren Waller","OAK","37.5","409.4","3.0","0.4","58.0"
"Will Dissly","SEA","25.1","330.4","3.1","0.1","51.4"
"Benjamin Watson","NE","29.3","337.0","2.4","0.1","47.7"
"Cameron Brate","TB","27.5","293.3","3.1","0.4","47.3"
"Vernon Davis","WAS","27.3","344.8","2.1","0.1","47.0"
"Mike Gesicki","MIA","35.0","353.3","2.2","0.8","46.9"
"Gerald Everett","LAR","27.7","301.0","2.6","0.1","45.7"
"Geoff Swaim","JAC","29.7","297.8","1.8","0.1","40.6"
"Jace Sternberger","GB","26.9","285.6","2.2","0.6","40.6"
"Ian Thomas","CAR","26.3","267.4","2.0","0.0","38.9"
"Matt LaCosse","NE","26.3","290.2","1.6","0.1","38.6"
"Ricky Seals-Jones","ARI","23.0","257.1","1.8","0.0","36.8"
"Hayden Hurst","BAL","21.1","253.8","1.9","0.1","36.5"
"Josh Oliver","JAC","25.9","280.3","1.5","0.6","35.9"
"Jordan Thomas","HOU","22.0","239.8","1.9","0.1","35.5"
"Blake Jarwin","DAL","21.8","233.6","1.8","0.0","34.3"
"Tyler Higbee","LAR","21.2","240.0","1.7","0.0","34.1"
"C.J. Uzomah","CIN","23.3","239.9","1.5","0.0","32.8"
"Jesse James","DET","21.9","228.1","1.6","0.0","32.3"
"Charles Clay","ARI","24.7","237.3","1.5","0.4","32.1"
"Irv Smith Jr.","MIN","21.2","218.2","1.7","0.6","30.8"
"Jeff Heuerman","DEN","21.1","205.0","1.6","0.0","30.0"
"Mo Alie-Cox","IND","14.9","194.0","1.8","0.1","29.9"
"Adam Shaheen","CHI","19.5","198.0","1.7","0.0","29.8"
"Nick Vannett","SEA","21.0","202.1","1.6","0.0","29.5"
"Tyler Kroft","BUF","19.2","200.5","1.4","0.1","28.1"
"Kahale Warring","HOU","18.0","191.5","1.6","0.5","27.6"
"Rhett Ellison","NYG","18.1","191.5","1.2","0.0","26.6"
"Dawson Knox","BUF","17.3","200.1","1.1","0.1","26.5"
"James O'Shaughnessy","JAC","19.7","197.8","1.1","0.0","26.1"
"Jason Croom","BUF","16.7","196.8","1.1","0.7","25.2"
"Jonnu Smith","TEN","16.5","177.8","1.2","0.0","24.7"
"Jordan Akins","HOU","16.2","190.1","1.0","0.0","24.7"
"Virgil Green","LAC","15.0","160.8","1.2","0.5","22.5"
"Demetrius Harris","CLE","11.0","125.9","1.4","0.0","21.2"
"Jacob Hollister","SEA","12.8","141.8","1.1","0.1","20.4"
"Drew Sample","CIN","14.5","141.2","1.2","0.5","20.3"
"Tanner Hudson","TB","12.0","142.0","1.0","0.0","20.2"
"Jake Butt","DEN","13.0","135.2","1.1","0.1","19.9"
"Nick O'Leary","MIA","10.8","138.4","0.9","0.1","19.4"
"Ed Dickson","SEA","11.3","122.3","1.1","0.0","18.7"
"Jakob Johnson","NE","12.0","125.0","1.0","0.0","18.5"
"Maxx Williams","ARI","15.3","133.3","0.9","0.0","18.5"
"Dwayne Allen","MIA","14.9","129.0","0.9","0.0","18.3"
"Xavier Grimble","PIT","11.2","131.9","1.0","0.6","17.8"
"Josh Hill","NO","12.8","127.6","1.0","0.5","17.8"
"Logan Paulsen","ATL","9.7","104.9","1.0","0.0","16.6"
"Levine Toilolo","SF","9.7","112.0","0.8","0.0","16.0"
"Anthony Firkser","TEN","9.3","108.7","0.9","0.0","16.0"
"Ryan Griffin","NYJ","9.8","114.4","0.7","0.0","15.7"
"Eric Tomlinson","NYJ","10.9","101.1","0.7","0.0","14.2"
"Luke Stocker","ATL","6.9","76.0","1.1","0.0","14.2"
"Foster Moreau","OAK","9.7","98.0","0.7","0.0","14.1"
"Derek Carrier","OAK","8.1","82.1","1.0","0.0","14.0"
"Blake Bell","KC","9.0","93.1","0.8","0.0","13.8"
"Nick Boyle","BAL","10.5","100.9","0.6","0.0","13.4"
"Robert Tonyan","GB","6.5","97.3","0.6","0.0","13.4"
"Garrett Celek","SF","6.3","80.6","0.9","0.0","13.3"
"Zach Gentry","PIT","8.6","91.1","0.7","0.0","13.0"
"Luke Willson","OAK","11.7","102.2","0.4","0.0","12.9"
"MyCole Pruitt","TEN","8.1","83.3","0.8","0.0","12.9"
"Dan Arnold","NO","6.9","77.9","0.7","0.0","12.3"
