"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Julio Jones","ATL","107.0","1,565.0","8.3","1.6","10.8","0.0","0.9","205.7"
"DeAndre Hopkins","HOU","102.8","1,444.5","10.2","0.5","-0.6","0.0","0.9","203.9"
"Davante Adams","GB","106.2","1,358.0","11.3","0.0","0.0","0.0","0.5","202.4"
"Tyreek Hill","KC","81.9","1,311.1","9.0","14.5","104.1","1.0","0.5","200.5"
"JuJu Smith-Schuster","PIT","103.8","1,371.7","9.0","0.5","4.5","0.0","0.5","190.4"
"Mike Evans","TB","87.1","1,393.7","7.7","0.0","0.0","0.0","0.5","184.2"
"Michael Thomas","NO","113.5","1,345.3","8.4","0.0","0.0","0.0","0.6","183.8"
"Odell Beckham Jr.","CLE","89.3","1,270.0","9.2","4.1","16.7","0.0","0.5","183.3"
"Antonio Brown","OAK","98.2","1,260.5","9.3","0.0","0.0","0.0","0.5","180.9"
"Keenan Allen","LAC","98.5","1,278.9","6.7","3.7","27.5","0.0","0.6","169.9"
"T.Y. Hilton","IND","80.1","1,279.7","6.5","0.0","0.0","0.0","0.5","166.0"
"Julian Edelman","NE","93.7","1,142.0","6.7","8.7","79.0","0.2","0.5","162.6"
"Adam Thielen","MIN","92.5","1,199.9","6.9","3.5","20.8","0.0","0.6","162.5"
"Brandin Cooks","LAR","75.0","1,137.5","6.3","7.5","46.3","0.4","0.5","157.4"
"Amari Cooper","DAL","81.4","1,109.6","7.8","1.2","9.2","0.0","1.0","156.7"
"Robert Woods","LAR","78.5","1,072.1","5.7","11.9","84.6","0.7","0.5","153.1"
"Stefon Diggs","MIN","91.0","1,036.0","7.4","7.1","35.2","0.0","0.5","151.1"
"Tyler Lockett","SEA","63.5","1,000.1","6.9","8.7","54.1","0.1","0.5","146.4"
"Kenny Golladay","DET","73.5","1,066.3","6.1","0.9","6.4","0.0","0.5","142.9"
"Cooper Kupp","LAR","70.8","945.8","7.4","3.6","22.8","0.0","0.5","140.7"
"Chris Godwin","TB","73.1","991.5","6.3","0.0","0.0","0.0","0.6","135.6"
"Mike Williams","LAC","56.7","836.6","7.4","3.7","19.1","0.3","0.1","131.6"
"Tyler Boyd","CIN","75.1","977.7","5.6","1.0","3.5","0.0","0.4","130.6"
"A.J. Green","CIN","63.0","920.1","6.3","0.0","0.0","0.0","0.5","128.7"
"Alshon Jeffery","PHI","66.4","899.5","6.5","0.0","0.0","0.0","0.5","128.0"
"Robby Anderson","NYJ","58.9","873.2","6.7","3.1","11.4","0.0","0.9","127.1"
"Sammy Watkins","KC","62.5","882.6","6.0","2.6","19.3","0.0","0.5","125.3"
"Calvin Ridley","ATL","63.9","804.9","7.0","5.5","28.6","0.0","0.5","124.6"
"Allen Robinson","CHI","64.9","902.0","5.7","0.6","3.9","0.1","0.5","124.1"
"D.J. Moore","CAR","63.5","874.5","4.4","13.1","128.7","0.1","1.6","123.9"
"Jarvis Landry","CLE","73.3","869.7","5.3","3.5","30.6","0.3","0.5","122.7"
"Dante Pettis","SF","58.0","822.1","5.9","0.9","0.1","0.0","0.4","117.0"
"Marvin Jones","DET","55.4","810.9","5.9","0.0","0.0","0.0","0.5","115.5"
"Christian Kirk","ARI","62.8","830.9","4.6","2.2","18.5","0.0","0.5","111.7"
"Will Fuller","HOU","53.7","779.8","5.7","0.5","2.4","0.0","0.4","111.6"
"Curtis Samuel","CAR","52.8","658.7","4.7","10.9","98.2","1.1","0.4","110.0"
"Sterling Shepard","NYG","62.7","821.7","4.4","2.6","16.2","0.0","0.4","109.4"
"Corey Davis","TEN","61.4","805.7","4.3","4.0","32.6","0.0","0.5","108.9"
"Dede Westbrook","JAC","66.1","759.4","5.0","4.7","40.1","0.0","1.0","108.3"
"Larry Fitzgerald","ARI","67.9","744.1","5.3","0.0","0.0","0.0","0.5","105.1"
"Courtland Sutton","DEN","49.2","752.4","4.7","0.5","0.2","0.0","0.1","103.1"
"Kenny Stills","MIA","48.2","731.2","4.9","0.0","0.0","0.0","0.5","101.5"
"DeSean Jackson","PHI","43.8","715.0","4.1","4.0","28.0","0.4","0.4","100.3"
"Mohamed Sanu","ATL","61.1","742.6","3.7","3.6","24.4","0.1","0.5","98.5"
"Michael Gallup","DAL","45.9","700.4","4.3","0.0","-0.2","0.0","0.1","95.5"
"Emmanuel Sanders","DEN","59.3","719.7","3.6","1.5","14.3","0.3","0.5","95.5"
"Geronimo Allison","GB","51.1","695.0","4.1","0.0","0.0","0.0","0.5","93.4"
"Tyrell Williams","OAK","50.1","705.8","3.8","0.6","3.9","0.0","0.5","92.8"
"Donte Moncrief","PIT","48.8","651.2","4.5","0.0","0.0","0.0","0.4","91.3"
"John Brown","BUF","43.1","646.0","4.4","0.8","2.7","0.0","0.1","90.8"
"Devin Funchess","IND","46.2","590.4","5.2","0.0","0.0","0.0","0.4","89.6"
"Ted Ginn","NO","43.1","614.1","3.5","8.6","56.8","0.3","0.4","88.7"
"Marquez Valdes-Scantling","GB","45.8","649.6","3.8","1.7","14.6","0.0","0.4","88.5"
"N'Keal Harry","NE","46.0","636.4","4.2","1.1","6.5","0.0","0.8","87.9"
"Albert Wilson","MIA","48.7","610.5","3.9","6.8","29.3","0.1","0.4","86.8"
"DaeSean Hamilton","DEN","56.3","619.6","4.1","0.0","0.0","0.0","0.4","85.5"
"Jamison Crowder","NYJ","52.7","630.8","3.6","2.9","18.4","0.0","0.5","85.4"
"Anthony Miller","CHI","42.5","557.3","4.5","3.3","15.2","0.0","0.1","84.3"
"Devante Parker","MIA","49.0","642.5","3.3","0.0","0.0","0.0","0.1","84.0"
"Golden Tate","NYG","56.3","632.9","3.2","2.2","17.6","0.0","0.5","83.5"
"James Washington","PIT","43.3","620.0","3.7","0.0","0.0","0.0","0.4","83.2"
"D.K. Metcalf","SEA","39.5","554.7","4.7","0.7","4.0","0.0","0.6","82.6"
