"Rank","Tier","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"1","1","","Saquon Barkley","NYG","RB1","11","1","5","1.5","0.8","1.0","0.0"
"2","1","","Christian McCaffrey","CAR","RB2","7","1","10","2.4","0.9","2.0","0.0"
"3","1","","Alvin Kamara","NO","RB3","9","1","5","2.9","1.1","3.0","0.0"
"4","1","","Ezekiel Elliott","DAL","RB4","8","1","52","5.4","4.9","4.0","0.0"
"5","1","","David Johnson","ARI","RB5","12","1","23","5.9","3.1","5.0","0.0"
"6","1","","DeAndre Hopkins","HOU","WR1","10","4","17","7.4","2.1","6.0","0.0"
"7","1","","Davante Adams","GB","WR2","11","5","20","8.2","2.9","8.0","+1.0"
"8","2","","Julio Jones","ATL","WR3","9","5","16","10.2","2.5","10.0","+2.0"
"9","2","","James Conner","PIT","RB6","7","3","53","11.7","5.2","11.0","+2.0"
"10","2","","Michael Thomas","NO","WR4","9","5","25","12.9","3.6","9.0","-1.0"
"11","2","","Le'Veon Bell","NYJ","RB7","4","2","52","12.9","6.8","7.0","-4.0"
"12","2","","Odell Beckham Jr.","CLE","WR5","7","4","25","12.9","4.0","12.0","0.0"
"13","2","","Travis Kelce","KC","TE1","12","6","22","14.0","2.3","14.0","+1.0"
"14","2","","Nick Chubb","CLE","RB8","7","1","28","14.3","5.8","18.0","+4.0"
"15","2","","JuJu Smith-Schuster","PIT","WR6","7","6","28","15.0","4.2","16.0","+1.0"
"16","2","","Joe Mixon","CIN","RB9","9","6","31","15.0","4.8","17.0","+1.0"
"17","2","","Tyreek Hill","KC","WR7","12","6","30","16.7","5.2","15.0","-2.0"
"18","2","","Dalvin Cook","MIN","RB10","12","5","46","17.4","5.7","20.0","+2.0"
"19","3","","Todd Gurley","LAR","RB11","9","3","60","19.7","10.5","13.0","-6.0"
"20","3","","Mike Evans","TB","WR8","7","12","34","21.3","4.1","21.0","+1.0"
"21","3","","George Kittle","SF","TE2","4","13","69","24.2","7.5","29.0","+8.0"
"22","3","","Keenan Allen","LAC","WR9","12","16","42","26.1","4.2","24.0","+2.0"
"23","3","","T.Y. Hilton","IND","WR10","6","18","46","26.8","3.8","27.0","+4.0"
"24","3","","Antonio Brown","OAK","WR11","6","13","81","26.9","6.4","22.0","-2.0"
"25","3","","Zach Ertz","PHI","TE3","10","18","63","28.0","9.5","25.0","0.0"
"26","3","","Melvin Gordon","LAC","RB12","12","4","142","29.4","14.8","23.0","-3.0"
"27","3","","Amari Cooper","DAL","WR12","8","12","55","30.4","5.6","32.0","+5.0"
"28","3","","Adam Thielen","MIN","WR13","12","12","54","30.7","4.9","26.0","-2.0"
"29","3","","Kerryon Johnson","DET","RB13","5","14","66","31.2","10.0","30.0","+1.0"
"30","3","","Stefon Diggs","MIN","WR14","12","22","51","31.3","4.2","35.0","+5.0"
"31","3","","Damien Williams","KC","RB14","12","6","101","31.6","14.1","28.0","-3.0"
"32","4","","Marlon Mack","IND","RB15","6","14","74","34.0","9.9","36.0","+4.0"
"33","4","","Leonard Fournette","JAC","RB16","10","10","76","34.3","9.3","31.0","-2.0"
"34","4","","Devonta Freeman","ATL","RB17","9","14","59","34.6","9.6","34.0","0.0"
"35","4","","Patrick Mahomes","KC","QB1","12","10","73","34.8","13.2","19.0","-16.0"
"36","4","","Aaron Jones","GB","RB18","11","9","80","35.3","10.1","33.0","-3.0"
"37","4","","Brandin Cooks","LAR","WR15","9","20","55","35.7","4.8","40.0","+3.0"
"38","4","","Julian Edelman","NE","WR16","10","22","68","35.7","6.8","39.0","+1.0"
"39","4","","Robert Woods","LAR","WR17","9","23","59","37.4","5.8","41.0","+2.0"
"40","4","","Kenny Golladay","DET","WR18","5","31","95","41.7","6.8","42.0","+2.0"
"41","4","","Chris Godwin","TB","WR19","7","25","86","42.3","8.4","46.0","+5.0"
"42","4","","Derrick Henry","TEN","RB19","11","12","93","43.6","9.4","38.0","-4.0"
"43","4","","Josh Jacobs","OAK","RB20","6","22","187","46.4","13.5","37.0","-6.0"
"44","4","","Tyler Lockett","SEA","WR20","11","29","109","47.0","12.3","50.0","+6.0"
"45","4","","Cooper Kupp","LAR","WR21","9","30","83","47.7","9.6","48.0","+3.0"
"46","4","","Chris Carson","SEA","RB21","11","24","93","48.5","13.3","51.0","+5.0"
"47","4","","Tyler Boyd","CIN","WR22","9","32","88","52.6","10.5","59.0","+12.0"
"48","5","","Alshon Jeffery","PHI","WR23","10","34","81","54.0","10.2","70.0","+22.0"
"49","5","","Calvin Ridley","ATL","WR24","9","34","87","54.4","8.9","55.0","+6.0"
"50","5","","Mark Ingram","BAL","RB22","8","19","99","54.6","14.0","49.0","-1.0"
"51","5","","Sony Michel","NE","RB23","10","29","89","55.4","11.4","47.0","-4.0"
"52","5","","D.J. Moore","CAR","WR25","7","34","113","55.6","12.7","61.0","+9.0"
"53","5","","David Montgomery","CHI","RB24","6","11","257","56.3","19.0","57.0","+4.0"
"54","5","","Deshaun Watson","HOU","QB2","10","21","80","52.2","11.5","43.0","-11.0"
"55","5","","Allen Robinson","CHI","WR26","6","37","110","57.7","13.8","69.0","+14.0"
"56","5","","O.J. Howard","TB","TE4","7","22","95","58.3","11.5","60.0","+4.0"
"57","5","","Mike Williams","LAC","WR27","12","34","96","59.5","12.6","62.0","+5.0"
"58","5","","Aaron Rodgers","GB","QB3","11","29","87","56.0","9.8","53.0","-5.0"
"59","5","","Phillip Lindsay","DEN","RB25","10","33","103","62.0","15.3","44.0","-15.0"
"60","5","","Evan Engram","NYG","TE5","11","18","119","63.3","14.2","56.0","-4.0"
"61","5","","Hunter Henry","LAC","TE6","12","22","94","65.0","8.8","65.0","+4.0"
"62","5","","Robby Anderson","NYJ","WR28","4","35","100","65.1","13.5","74.0","+12.0"
"63","5","","A.J. Green","CIN","WR29","9","42","112","65.2","16.7","45.0","-18.0"
"64","5","","Jarvis Landry","CLE","WR30","7","30","127","65.7","15.5","63.0","-1.0"
"65","5","","James White","NE","RB26","10","27","115","66.5","14.6","52.0","-13.0"
"66","5","","Andrew Luck","IND","QB4","6","21","154","64.9","21.4","54.0","-12.0"
"67","5","","Tevin Coleman","SF","RB27","4","35","136","73.4","18.3","67.0","0.0"
"68","5","","Baker Mayfield","CLE","QB5","7","30","119","69.3","13.9","58.0","-10.0"
"69","5","","Kenyan Drake","MIA","RB28","5","19","134","74.4","21.8","66.0","-3.0"
"70","5","","Sammy Watkins","KC","WR31","12","40","148","74.4","16.4","76.0","+6.0"
"71","5","","Lamar Miller","HOU","RB29","10","42","167","75.3","18.2","68.0","-3.0"
"72","5","","Matt Ryan","ATL","QB6","9","46","131","72.1","15.7","72.0","0.0"
"73","5","","Corey Davis","TEN","WR32","11","40","137","77.1","17.4","83.0","+10.0"
"74","5","","Christian Kirk","ARI","WR33","12","47","107","78.3","13.8","77.0","+3.0"
"75","5","","Will Fuller","HOU","WR34","10","47","165","78.6","16.9","79.0","+4.0"
"76","5","","Tarik Cohen","CHI","RB30","6","40","125","78.8","16.6","64.0","-12.0"
"77","6","","Marvin Jones","DET","WR35","5","45","203","81.7","18.2","96.0","+19.0"
"78","6","","Dante Pettis","SF","WR36","4","42","142","83.3","16.2","80.0","+2.0"
"79","6","","Latavius Murray","NO","RB31","9","42","164","84.0","16.8","102.0","+23.0"
"80","6","","Curtis Samuel","CAR","WR37","7","45","169","86.2","21.9","104.0","+24.0"
"81","6","","Sterling Shepard","NYG","WR38","11","63","137","87.4","13.8","93.0","+12.0"
"82","6","","Rashaad Penny","SEA","RB32","11","46","142","88.2","15.3","81.0","-1.0"
"83","6","","Cam Newton","CAR","QB7","7","46","150","84.6","19.4","92.0","+9.0"
"84","6","","Jared Cook","NO","TE7","9","13","140","84.9","15.8","73.0","-11.0"
"85","6","","Dede Westbrook","JAC","WR39","10","39","195","90.7","23.4","95.0","+10.0"
"86","6","","Carson Wentz","PHI","QB8","10","54","162","86.6","20.3","87.0","+1.0"
"87","6","","Larry Fitzgerald","ARI","WR40","12","55","143","91.0","17.7","88.0","+1.0"
"88","6","","Russell Wilson","SEA","QB9","11","41","158","87.2","20.5","91.0","+3.0"
